anio,provincia_id,poblacion
2010,2,3028481
2010,6,15716942
2010,10,377676
2010,14,3373025
2010,18,1017731
2010,22,1080017
2010,26,513433
2010,30,1255574
2010,34,551626
2010,38,683513
2010,42,327028
2010,46,342582
2010,50,1774737
2010,54,1113279
2010,58,571910
2010,62,648277
2010,66,1239111
2010,70,696076
2010,74,443944
2010,78,275452
2010,82,3257907
2010,86,879246
2010,90,1489225
2010,94,131661
2011,2,3033639
2011,6,15909607
2011,10,381548
2011,14,3411773
2011,18,1028248
2011,22,1092625
2011,26,524201
2011,30,1268744
2011,34,557223
2011,38,692379
2011,42,330268
2011,46,347494
2011,50,1797235
2011,54,1128798
2011,58,581720
2011,62,658486
2011,66,1258111
2011,70,704652
2011,74,450434
2011,78,284414
2011,82,3285408
2011,86,888809
2011,90,1509932
2011,94,135742
2012,2,3038860
2012,6,16100618
2012,10,385408
2012,14,3450673
2012,18,1038786
2012,22,1105280
2012,26,534945
2012,30,1281931
2012,34,562794
2012,38,701252
2012,42,333496
2012,46,352476
2012,50,1819608
2012,54,1144189
2012,58,591422
2012,62,668663
2012,66,1277062
2012,70,713240
2012,74,456924
2012,78,293407
2012,82,3313212
2012,86,898484
2012,90,1530689
2012,94,139852
2013,2,3044076
2013,6,16289599
2013,10,389256
2013,14,3489669
2013,18,1049325
2013,22,1117953
2013,26,545656
2013,30,1295121
2013,34,568331
2013,38,710121
2013,42,336706
2013,46,357516
2013,50,1841813
2013,54,1159445
2013,58,601003
2013,62,678797
2013,66,1295944
2013,70,721830
2013,74,463411
2013,78,302420
2013,82,3341228
2013,86,908268
2013,90,1551460
2013,94,143987
2014,2,3049229
2014,6,16476149
2014,10,393088
2014,14,3528687
2014,18,1059836
2014,22,1130608
2014,26,556319
2014,30,1308290
2014,34,573823
2014,38,718971
2014,42,339895
2014,46,362605
2014,50,1863809
2014,54,1174542
2014,58,610449
2014,62,688873
2014,66,1314726
2014,70,730408
2014,74,469889
2014,78,311444
2014,82,3369365
2014,86,918147
2014,90,1572205
2014,94,148143
2015,2,3054267
2015,6,16659931
2015,10,396895
2015,14,3567654
2015,18,1070283
2015,22,1143201
2015,26,566922
2015,30,1321415
2015,34,579250
2015,38,727780
2015,42,343056
2015,46,367728
2015,50,1885551
2015,54,1189446
2015,58,619745
2015,62,698874
2015,66,1333365
2015,70,738959
2015,74,476351
2015,78,320469
2015,82,3397532
2015,86,928097
2015,90,1592878
2015,94,152317
2016,2,3059122
2016,6,16841135
2016,10,400678
2016,14,3606540
2016,18,1080655
2016,22,1155723
2016,26,577466
2016,30,1334489
2016,34,584614
2016,38,736542
2016,42,346191
2016,46,372879
2016,50,1907045
2016,54,1204182
2016,58,628897
2016,62,708799
2016,66,1351878
2016,70,747488
2016,74,482796
2016,78,329499
2016,82,3425656
2016,86,938109
2016,90,1613476
2016,94,156509
2017,2,3063728
2017,6,17020012
2017,10,404433
2017,14,3645321
2017,18,1090938
2017,22,1168165
2017,26,587956
2017,30,1347508
2017,34,589916
2017,38,745252
2017,42,349299
2017,46,378047
2017,50,1928304
2017,54,1218771
2017,58,637913
2017,62,718646
2017,66,1370283
2017,70,755994
2017,74,489225
2017,78,338542
2017,82,3453674
2017,86,948172
2017,90,1633992
2017,94,160720
2018,2,3068043
2018,6,17196396
2018,10,408152
2018,14,3683937
2018,18,1101084
2018,22,1180477
2018,26,598380
2018,30,1360443
2018,34,595129
2018,38,753891
2018,42,352378
2018,46,383220
2018,50,1949293
2018,54,1233177
2018,58,646784
2018,62,728403
2018,66,1388532
2018,70,764464
2018,74,495629
2018,78,347593
2018,82,3481514
2018,86,958251
2018,90,1654388
2018,94,164944
2019,2,3072029
2019,6,17370144
2019,10,411824
2019,14,3722332
2019,18,1111052
2019,22,1192616
2019,26,608729
2019,30,1373270
2019,34,600229
2019,38,762440
2019,42,355422
2019,46,388386
2019,50,1969982
2019,54,1247362
2019,58,655501
2019,62,738060
2019,66,1406584
2019,70,772876
2019,74,502000
2019,78,356647
2019,82,3509113
2019,86,968309
2019,90,1674622
2019,94,169183