indice_tiempo,indice_serie_original,indice_serie_desestacionalizada,indice_serie_tendencia_ciclo
2004-01,92.62750602691051,98.44644059187507,96.0458100922521
2004-02,90.1861793165596,98.2859192068772,96.64495644580296
2004-03,101.88329804238072,97.49123094599938,97.3071896768643
2004-04,102.5674302511826,95.53050576885636,97.9990208617124
2004-05,109.87750394051662,96.65817796022664,98.71985343261602
2004-06,105.66240620209852,98.45399074750787,99.46469027588391
2004-07,101.10699729002121,100.9556580216852,100.23806399673114
2004-08,98.35573694243756,101.92749730743546,101.04178289315549
2004-09,98.08637453469638,102.47086383121339,101.87076115719192
2004-10,97.8356659809799,103.222782895258,102.71747844414978
2004-11,100.13194668122141,102.99885320416985,103.56266298639082
2004-12,101.67895479099535,103.55807951889572,104.38772973724899
2005-01,98.473359529179,105.539246479818,105.1767793850112
2005-02,96.11886613343405,106.10307075214105,105.9184387220898
2005-03,110.65642586719524,107.11472846437368,106.6097435078768
2005-04,116.54519048214908,108.10260283892592,107.25464070987486
2005-05,126.66194335502728,108.87125134767429,107.86293656527478
2005-06,116.50222321492876,108.56133091460664,108.45013106023086
2005-07,107.58113926245956,109.23051212328163,109.03400957212305
2005-08,105.82089279310112,109.37416130087648,109.63125822827278
2005-09,104.89213472672316,109.1374215485336,110.25433165551405
2005-10,104.4606653849844,109.75652005816481,110.91052283510894
2005-11,108.00375438454834,111.05610440332256,111.60428153206341
2005-12,110.50332389924424,113.37296892447227,112.3337246122324
2006-01,106.53094787692403,113.44137503485442,113.09108536025428
2006-02,104.0901370432872,114.88187315115731,113.86702353781168
2006-03,118.58827645043104,114.811073411711,114.65279859848162
2006-04,122.08710730131628,115.82080940020259,115.4441991565398
2006-05,133.3710156747742,115.17374530183734,116.24403281873468
2006-06,124.29274775102324,116.02085878890269,117.05357073398065
2006-07,117.0456318535268,117.96235137280271,117.87556578623918
2006-08,116.30360797574892,118.91659309669848,118.71541556343699
2006-09,114.80248033323907,119.79873891847514,119.57973879177405
2006-10,116.47750825324565,120.1889916479253,120.46821081261356
2006-11,118.14078229406631,120.55517881060813,121.3787872155573
2006-12,119.60317208093002,123.76182608645651,122.30460521615444
2007-01,114.70176482722368,122.14461204817906,123.23763547378509
2007-02,112.743248286053,124.66867222463165,124.17064752257204
2007-03,129.28276498944658,126.6925642873138,125.10098505409461
2007-04,133.46308313008805,125.53177552038404,126.0245588493998
2007-05,147.60791074167543,127.29865159032387,126.93957911681105
2007-06,136.12098630494512,128.20675726677592,127.8465865591697
2007-07,127.3875518979554,127.19105847692484,128.74579090420266
2007-08,126.59522767863001,129.13345672854072,129.636581100017
2007-09,123.51046329444522,129.60490909033794,130.5153830666094
2007-10,128.4153826610447,131.28076212008048,131.37370274655964
2007-11,129.73508945617354,132.46217227574286,132.19496718484152
2007-12,128.89792837498598,134.24601015852355,132.95059082462507
2008-01,126.22689251081431,134.91941094437493,133.60819691543065
2008-02,122.82490450916451,133.80444244579158,134.1310640280677
2008-03,132.33412728743556,133.51038048608106,134.4812467402243
2008-04,145.28049855207212,136.17081916125028,134.6244951716647
2008-05,154.15616391286648,135.08314877686706,134.53076713265943
2008-06,140.50348421669764,132.92473480543788,134.18047014886972
2008-07,136.63868805371584,135.40761976249078,133.57314165190084
2008-08,131.34092143552698,135.54197845740694,132.725869434078
2008-09,132.18593848988462,135.6343383757467,131.6747996538702
2008-10,130.39517884255912,132.39896639897714,130.4730082132473
2008-11,125.52756329262155,129.63899139618806,129.19062981359812
2008-12,123.46600579407664,125.84553603779291,127.90649075876223
2009-01,116.7584192020652,124.36459899216378,126.70630825824871
2009-02,114.85886148592793,126.36051811432579,125.67310942081457
2009-03,126.16560261026108,123.68111431376623,124.87653212302263
2009-04,127.99055887450349,122.04795493458981,124.36662766915892
2009-05,133.03567047814315,121.2275240519117,124.17289733912231
2009-06,129.31265804805898,122.1761764874688,124.30277119830595
2009-07,127.36305837501409,124.83786323313248,124.74349247255577
2009-08,124.00328620894652,126.36345559184666,125.46436038544556
2009-09,126.18512812472765,128.02570270625006,126.42284284467381
2009-10,127.07986188269524,128.94920368252158,127.56606979588908
2009-11,127.09219178029132,129.32913923627038,128.83741208997188
2009-12,126.28656380555832,128.76860967398122,130.18273117358729
2010-01,121.50567852923164,131.60296798628357,131.5561792189021
2010-02,119.82280209203972,133.22963048897245,132.91619188121743
2010-03,136.8955016204612,134.43653315199592,134.23119258654154
2010-04,145.77413149301782,136.84589252215616,135.4768422300486
2010-05,158.1106315304388,139.23512840468194,136.63895167402842
2010-06,149.86155200805442,140.5877334254786,137.71079897331649
2010-07,139.50568662872732,139.02676683112907,138.69629454437452
2010-08,137.24598068715568,139.55923672905314,139.61051335188006
2010-09,136.69642672162286,139.57566964360691,140.47284636765727
2010-10,135.13884450692316,140.03390523790918,141.29738692369668
2010-11,139.59882328372223,142.1471169101042,142.09346347801326
2010-12,138.47764951271685,142.353127439144,142.86654886936563
2011-01,133.0769197185519,145.37448463919554,143.6173889520705
2011-02,129.50988684262188,144.10303350285616,144.33780266852122
2011-03,147.00183909502374,145.2904882784866,145.00864578907346
2011-04,151.03582303961804,144.8334048000341,145.60645954257268
2011-05,166.17834208101743,146.91053121817578,146.10786124384703
2011-06,156.6936585122553,147.02775165708547,146.49222914033555
2011-07,146.37808828046838,146.62895919304785,146.7429850978998
2011-08,146.39850538471867,146.742464083102,146.85005516182957
2011-09,147.170906821271,148.58711762172862,146.81065547077026
2011-10,145.0500024277993,147.18287638993826,146.63456865504676
2011-11,146.3616451241655,147.5944073878716,146.3463659659627
2011-12,143.36165785374328,147.94175657552344,145.98121105021437
2012-01,136.19408129361287,147.25859842194453,145.5803841773992
2012-02,132.36052594074118,145.51980060383434,145.18641667668277
2012-03,147.4410162449576,145.13465340702447,144.84214346178032
2012-04,145.52027831854522,141.20076939712638,144.5836409340159
2012-05,157.4041837193603,140.47684124961577,144.441052790592
2012-06,149.03310174150508,140.98089752563226,144.4350355096999
2012-07,146.86279961903688,144.4257263344096,144.57386127333254
2012-08,145.6932569888101,145.20213633412646,144.85154117485197
2012-09,142.47153651731423,146.34659084687198,145.24631055635263
2012-10,147.23130295530083,147.2948264048639,145.7275293775121
2012-11,146.37343184468628,147.27236192135481,146.26159482640003
2012-12,143.58505809958143,149.05737100073827,146.81196198079763
2013-01,136.5170718250443,146.21998614078777,147.34492725683074
2013-02,132.795321964955,148.0835836814464,147.8320056522408
2013-03,149.40394566736484,148.50583677333626,148.24762315596462
2013-04,155.94159584157654,147.7371921319404,148.5757898753989
2013-05,167.9734791225302,148.81841969685706,148.8068571115819
2013-06,156.2718644302407,149.46158897626626,148.92996576528824
2013-07,150.73100129825897,148.34704491105472,148.93744845707417
2013-08,148.42144953050052,150.1300880062849,148.8249394839355
2013-09,147.0048441881334,150.32870171657882,148.5957447380963
2013-10,148.6939593959755,149.36248652261008,148.25961076271895
2013-11,145.69589762827005,148.43346895457913,147.8285718253919
2013-12,142.5768791271264,146.59891267626213,147.32037857711802
2014-01,137.96969739537636,146.37643028594232,146.75633709491032
2014-02,132.48630687243056,146.75251837012462,146.16332037037202
2014-03,144.53782808347015,144.58061338899594,145.5737871544199
2014-04,152.34143546147138,144.6249023417524,145.02409203317737
2014-05,164.2032439025611,145.17859965966812,144.55059310214006
2014-06,153.80352402990053,145.07316007010576,144.1886994512923
2014-07,145.4228137340859,144.16830751412604,143.97018861299782
2014-08,140.10530396605887,143.54927605634282,143.921333963058
2014-09,141.71873319955728,143.62554483578154,144.05306857404292
2014-10,143.34939741761292,144.21505294247692,144.3640322236458
2014-11,140.87759689826308,144.53242837645504,144.83588854696174
2014-12,140.43593774912821,144.57498503195058,145.43934211344686
2015-01,133.9981890703503,144.78025070331498,146.13429443681062
2015-02,132.627886955774,148.37418444355,146.86810088203114
2015-03,149.4090129833281,146.79543858947562,147.5842641126979
2015-04,157.48459953731432,148.83133495561026,148.2297385781834
2015-05,168.88610058983411,149.5711206934269,148.75702533605266
2015-06,162.93739000912225,151.94333622933542,149.12610717983043
2015-07,151.8447963430633,150.56622191176962,149.31333911699357
2015-08,146.46506720486232,149.9703943329693,149.31304571474018
2015-09,145.8823237186007,149.30547823661,149.13323867238503
2015-10,147.04587615341626,149.48193791180768,148.79428556381148
2015-11,146.175581385648,148.35170297161218,148.32966739824113
2015-12,141.9421187346255,146.72754187473063,147.77956522636532
2016-01,134.74031828944402,147.48914635352227,147.18882702723832
2016-02,134.22454849345448,146.6221212348965,146.6028104881155
2016-03,150.10183890591895,146.8032331021063,146.06376192345513
2016-04,153.24120336417963,145.25984490104412,145.60672102877956
2016-05,163.53360465627728,144.27895866610228,145.25653261507915
2016-06,153.65156967407506,144.29504042193892,145.02894216309912
2016-07,143.73788031749862,144.61700759672462,144.92741843680813
2016-08,143.6719489235942,145.26708304616605,144.94868361069106
2016-09,142.00311183213336,145.29364442513278,145.08526874421838
2016-10,141.13247052567968,144.66423335610702,145.3262840462311
2016-11,144.93984585010418,146.0263940748668,145.6573998314782
2016-12,142.59301272334685,146.9546465418696,146.0676823611399
2017-01,136.50564174023808,146.85406548632002,146.5450842111121
2017-02,131.84350365115546,146.32626136747967,147.07955587177298
2017-03,151.94706924231224,147.5537266770434,147.66099854704902
2017-04,153.19635316771803,147.20436756218743,148.2745093643623
2017-05,167.5675049406805,147.517381502401,148.8991443620855
2017-06,159.44119927701016,150.07261720169495,149.5049665817754
2017-07,149.94274198720845,150.0584124478075,150.0572502724926
2017-08,148.88406530714963,150.39593492876898,150.51614227440183
2017-09,146.98090267715241,151.84768069412164,150.83920776633462
2017-10,148.9576293224514,151.5490059638409,150.99126188165638
2017-11,151.94661654757587,152.63428775827836,150.9457216201871
2017-12,146.9936467687366,152.19313320860599,150.68915624551946
2018-01,143.0019137556669,152.16219896019078,150.2257092567207
2018-02,138.8197065069972,152.19678264316892,149.57521986072516
2018-03,155.744658175298,151.96781617154681,148.77397507526624
2018-04,153.29944192230408,147.12668911826333,147.86801803426994
2018-05,159.6122796899062,143.6531247247396,146.90855383504672
2018-06,149.01486138822182,142.56944805887483,145.9488541821854
2018-07,145.63141931616977,143.4151286765437,145.0394950049519
2018-08,146.15300028104988,146.41776971973403,144.22321854857418
2018-09,137.74972433982157,142.89395797093022,143.52769209556112
2018-10,142.96533741761377,144.25148970187863,142.96475089319327
2018-11,140.93514633106568,141.25525890089682,142.53321392177256
2018-12,136.75089485093991,141.76872076190492,142.2207961630548
2019-01,134.8429753471242,142.68085479414023,142.00800441046908
2019-02,132.32908117024692,143.02128231400658,141.87320398742358
2019-03,144.86491311990414,141.42290255352958,141.79665227846658
2019-04,151.53348629718238,142.17672501554446,141.76321568470723
2019-05,163.9892727548917,142.1386942424601,141.76357921393924
2019-06,149.38819712935006,141.37332747589463,141.7940514618282
2019-07,146.33656714780423,143.24200877952106,141.85529196873318
2019-08,140.61694961924618,141.7590035283997,141.95040924078722
